"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0050817","coagulation",175,-0.383206862876509,-1.52420592671904,0.00274795068724335,0.0302661610904831,0.0240776702173583,1846,"tags=29%, list=14%, signal=25%","114897/7099/5328/1906/2677/29071/22821/79057/22875/7410/10672/5777/2159/7409/4627/3673/6812/1281/1465/7035/5329/7454/7980/954/5580/6915/8525/375033/6714/5028/5023/7057/5270/11093/285/284/1311/558/10451/2162/79987/11117/710/5156/2150/2316/2151/22915/5321/2048/2192"
"GO:0050771","negative regulation of axonogenesis",42,-0.5474043801676,-1.75688266852696,0.00278541015377421,0.0305557819273748,0.0243080725791876,1707,"tags=33%, list=13%, signal=29%","57142/10371/393/56920/7474/2258/56963/6696/8831/55558/5802/4168/9423/2048"
"GO:0006760","folic acid-containing compound metabolic process",19,-0.665642295820051,-1.7565910744794,0.00278285331315028,0.0305557819273748,0.0243080725791876,1593,"tags=26%, list=12%, signal=23%","25902/200895/113235/6573/160428"
"GO:0090594","inflammatory response to wounding",22,-0.625620122012087,-1.72185134604149,0.00282393565632812,0.0309164475654802,0.0245949932846935,3015,"tags=64%, list=22%, signal=50%","7124/2149/3091/7076/64332/7040/7099/240/3162/7098/5777/90865/6774/177"
"GO:0014002","astrocyte development",31,-0.592403959489094,-1.78761493984476,0.0028359858884636,0.0309342801601445,0.0246091796670419,3372,"tags=58%, list=25%, signal=44%","6608/9839/712/7124/7431/351/3845/7099/1956/3913/10100/5354/728/177/4035/4137/9572/10319"
"GO:0032608","interferon-beta production",57,-0.509571765931243,-1.74056227872888,0.00284251788829972,0.0309342801601445,0.0246091796670419,2680,"tags=40%, list=20%, signal=32%","9636/10859/5966/10475/29110/1660/23515/3665/7099/9111/7098/148022/56829/64135/23586/4938/3663/4940/7097/51284/4939/51311/5802"
"GO:0032648","regulation of interferon-beta production",57,-0.509571765931243,-1.74056227872888,0.00284251788829972,0.0309342801601445,0.0246091796670419,2680,"tags=40%, list=20%, signal=32%","9636/10859/5966/10475/29110/1660/23515/3665/7099/9111/7098/148022/56829/64135/23586/4938/3663/4940/7097/51284/4939/51311/5802"
"GO:1904861","excitatory synapse assembly",31,-0.591790055782143,-1.78576244811071,0.00286537408163376,0.0311211462755222,0.0247578374597303,1368,"tags=35%, list=10%, signal=32%","9746/9378/5783/7474/85358/5649/57555/57524/94030/5802/9379"
"GO:0033143","regulation of intracellular steroid hormone receptor signaling pathway",62,-0.49464154275644,-1.7057421674765,0.00287248419133903,0.0311365910166135,0.0247701242304733,2323,"tags=27%, list=17%, signal=23%","23376/10498/27086/6502/8085/51341/9420/5187/5058/1601/6714/406/26508/8284/6943/9612/55885"
"GO:0060219","camera-type eye photoreceptor cell differentiation",17,-0.687890249274878,-1.74305537027114,0.00289199175511178,0.031286092623482,0.0248890573973319,880,"tags=41%, list=7%, signal=39%","6662/6774/4915/6096/148398/54549/4851"
